iterations,Err,RelErr,mu,lam,beta,sigma,mu0,lam0,beta0,sigma0,dEdm,dEdl,dEdb,dEds,success,h_pred,RelH,qd_pred,RelQd,q0_pred,RelQ0,Mass,RepliconNorm
0,,0.9961390786522962,-0.7390515357859242,2.445700915161471e-09,159750.50275601586,0.3349359647595107,-0.7390515357859242,2.445700915161471e-09,159750.50275601586,0.3349359647595107,0.004577382894147795,-4788587.270738253,-1.996062522710756e-07,-0.09033882535683886,0.0,5.3530683418853085e-06,0.9894256200899091,2.547915977043722e-08,0.9990958424495942,2.918344313200612e-11,0.9998957734173857,0.9995439072342777,0.9999980771613328
1,0.022885590863159062,0.10386364541563431,-0.6702805548734798,1.555375343998593e-05,300.81100658330257,7.718555638450586,-0.6702805548733641,2.6127204487085418e-08,300.8110065833024,7.718555638453312,-0.0011920776805726947,0.02581611487084277,1.168578195343675e-05,0.028240806392957313,1.0,0.000496990140851541,0.018252294704894867,3.3292220298911734e-05,0.18141306951425595,2.4866083983222944e-07,0.11192557202775211,0.40782151507067776,0.9939257370033643
2,0.0007716624815527042,0.018437897156781496,-0.11452091649765285,2.1000867492939132e-05,293.63747698921674,5.2343983482546745,-0.22419146017891967,8.801467625002093e-07,293.63894802373034,7.812248885884111,3.6312641281084128e-06,0.10363581503384797,-5.314581361208731e-06,2.3466471963893061e-07,0.0,0.0005234584629805712,0.034032876322168226,2.822886130886155e-05,0.0017339002434899609,2.7452686382668786e-07,0.019546914904686297,0.7750975528014403,0.998108530466634
3,0.05706109077387464,0.1733918658855701,0.24263013927912058,1.7145046102265888e-05,232.9909054264411,8.770290792332489,0.2426308990670456,5.2261316190932815e-06,232.9909051144181,8.770279139723659,-0.0017429280250461873,-0.04006086018470326,2.1365531270605724e-05,0.04096363603561595,1.0,0.00047635798023026296,0.05900879001587622,3.598490819204196e-05,0.2769662239901334,2.2842383657780384e-07,0.1842005836507007,0.3592010856821731,0.9945043345088388
4,1.4726420045954671,0.9955683745287464,0.2780443040364209,6.861342725925967e-08,974.3038104945045,4.28879906950974,0.2780443040364209,6.861342725925967e-08,974.3038104945045,4.28879906950974,0.0002989830606889261,-193300.1243729083,-1.463272785666375e-05,-0.004607847464947816,0.0,4.009423834512906e-06,0.9920798375550384,1.4983042141542e-07,0.9946830936332356,1.618612856975237e-11,0.9999421923979652,0.9973151570737123,0.9999996014252965
5,1.4726710701858594,0.9996710163321717,-0.9405310698122396,3.104547287052974e-09,3248.8197014447874,2.348659697595049,-0.9405310698122396,3.104547287052974e-09,3248.8197014447874,2.348659697595049,4.003464206681871e-05,-318042.3498445384,-3.3307042974079127e-07,-0.0006165512582424069,0.0,3.605315911050749e-07,0.9992878106965113,7.729603937666726e-09,0.9997257060348592,1.3096575946831883e-13,0.9999995322651447,0.9998614789789981,0.9999999964585655
6,1.4568603014593648,0.9903737489583606,-0.7990542264205425,1.5520381065797402e-07,791.6930193499837,4.757781493793467,-0.7990542264205425,1.5520381065797402e-07,791.6930193499837,4.757781493793467,0.0005933475902992399,-184967.50215160043,-3.9657134980275346e-05,-0.009241896193436024,0.0,8.281749878773426e-06,0.983640341586288,3.4583705356670076e-07,0.9877275708457522,6.906635594834173e-11,0.9997533344430416,0.993803441089413,0.999998274186728
7,0.0002832091943497568,0.011450693083020158,0.34542893708301986,4.009335312944437e-06,1446.5951224120884,4.521450458205224,0.5426450881877631,1.2893254451640818e-05,1446.5861625933326,3.5197413255076793,-8.929597517508008e-06,1735.4734945623213,1.825273660379629e-07,0.0006291868540139536,0.0,0.0005166399979863546,0.02056377138129828,2.8235519758608687e-05,0.001970183059215147,2.7669092505360685e-07,0.011818124808547048,0.17315991118603702,0.9628091007753596
8,1.4684108167667531,0.9975486934603767,-0.10407617511410616,2.4414413634764567e-08,3074.904768682603,2.41416564591322,-0.10407617511410616,2.4414413634764567e-08,3074.904768682603,2.41416564591322,0.00028550495316288245,-301092.6759098309,-2.7089728285584356e-06,-0.004347167097181553,0.0,2.6707989413084214e-06,0.9947241393411919,5.7836560532083005e-08,0.9979476025361219,7.185218931484864e-12,0.9999743385038161,0.9989636312667894,0.9999998124253932
9,0.0008044150081642256,0.018547713205454897,33.1554604994606,3.620834127378149e-05,184.15900752153243,9.13823552733368e-15,-0.31262512202543635,1.702115410532909e-08,184.94666161080386,9.84372907533555,-6.78406927235989e-07,6.850371305886936,-4.6961637746249495e-06,1.2685165418080402e-09,1.0,0.0005239927613560967,0.03508832221736502,2.821258441557073e-05,0.0011562957973998422,2.7456841395155206e-07,0.019398521601599827,1.0,1.0
